Record ID,Geological Group ID,CV Block ID,target,model_score,score_type,prediction,threshold,threshold_status,repeat,outer_fold,model,parameter_hash,analysis_protocol_hash,optimizer_converged,optimizer_iterations,optimizer_fit_cycles
R0706,GG0012,CVB0012,1,0.21901097555105445,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0707,GG0012,CVB0012,1,0.11479398029307097,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0708,GG0012,CVB0012,1,0.005317968376541752,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0709,GG0012,CVB0012,1,0.005987319079835131,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0711,GG0012,CVB0012,1,0.3243727711785465,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0712,GG0012,CVB0012,1,0.13896713271177566,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0713,GG0012,CVB0012,1,0.09307064510425787,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0714,GG0012,CVB0012,1,0.009792774924582283,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0715,GG0012,CVB0012,1,0.002541988929250706,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0716,GG0059,CVB0055,1,0.42106803805425386,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0717,GG0059,CVB0055,1,0.7259624866136823,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0718,GG0059,CVB0055,1,0.8212627234465075,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0719,GG0059,CVB0055,1,0.7912866340403463,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0720,GG0059,CVB0055,1,0.780165975257844,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0721,GG0059,CVB0055,1,0.5027876570880613,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0722,GG0059,CVB0055,1,0.6418569843252376,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
