Geological Group ID,target,target_nunique,cv_block,model_score,model_score_mean_sensitivity,record_count,prediction,score_type,threshold,threshold_status,repeat,outer_fold,model,parameter_hash,analysis_protocol_hash,optimizer_converged,optimizer_iterations,optimizer_fit_cycles
GG0030,0,1,CVB0027,3.8085030660984066e-07,0.00048734546650832186,59,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0037,0,1,CVB0034,3.725054662299982e-05,0.0009259364070511073,6,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0041,1,1,CVB0038,0.6949277495109124,0.5903044717026239,21,1,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0048,1,1,CVB0044,1.750365694255391e-05,0.00021257130927134345,4,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0054,1,1,CVB0050,0.971962287384525,0.7215601124995947,21,1,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0059,1,1,CVB0055,0.7681622624340392,0.5904309972175259,15,1,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0064,1,1,CVB0060,0.9999557078314274,0.8098974551444911,5,1,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0071,0,1,CVB0067,0.7136883150243988,0.527836061097033,14,1,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0074,0,1,CVB0070,2.962570405849694e-09,0.005025302937659167,8,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0081,0,1,CVB0077,0.005625392267153904,0.005322130192033289,5,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0084,0,1,CVB0080,4.940354952390726e-08,2.1630336739290132e-07,4,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0089,0,1,CVB0085,2.9721873107357073e-09,5.398946594027268e-08,7,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0096,0,1,CVB0092,0.9999816417838551,0.9994613173391351,9,1,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0101,0,1,CVB0097,5.0745391425999845e-11,8.422959028092962e-11,5,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0106,0,1,CVB0102,2.150707402642889e-09,0.02242671628470851,24,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
