study_name,model,repeat,outer_fold,trial_number,state,objective,duration_seconds,parameters_json,metric::average_precision,metric::balanced_accuracy_at_0_5,metric::complexity,metric::f1_at_0_5,metric::fold_auc_sd,metric::keyboard_interrupt_retries,metric::optimizer_converged_fraction,metric::optimizer_fit_cycles_max,metric::optimizer_iterations_max,metric::parameter_hash,metric::roc_auc
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,21,COMPLETE,0.8413265306122449,26.372146,"{""max_depth"": null, ""max_features"": 0.41501760537804255, ""min_samples_leaf"": 2, ""n_estimators"": 995}",0.6438578557571533,0.7535714285714286,14925.0,0.6538461538461539,0.0855452027844737,0,1.0,1.0,0.0,707f7d98e35be45d919a19f8c9939f9a4c18f3db7eb9be56cea56cb0b4b10d17,0.8413265306122449
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,22,COMPLETE,0.8448979591836735,20.141539,"{""max_depth"": null, ""max_features"": 0.32920622055907833, ""min_samples_leaf"": 3, ""n_estimators"": 901}",0.6526002953517457,0.7607142857142857,9010.0,0.6666666666666666,0.076807215953298,0,1.0,1.0,0.0,0a0ed0fd79b24e185748724d8542ba1aa6d9b55b2a873f811e3b4321f3531856,0.8448979591836735
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,23,COMPLETE,0.8433673469387756,21.407443,"{""max_depth"": null, ""max_features"": 0.3284519747861487, ""min_samples_leaf"": 2, ""n_estimators"": 939}",0.6584798506498697,0.7535714285714286,14085.0,0.6538461538461539,0.0726537344515448,0,1.0,1.0,0.0,c0dd6122e425b6288deede25be8e069c5db33ec4e2e7d9570112b49717db1d4a,0.8433673469387756
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,24,COMPLETE,0.8336734693877552,24.299112,"{""max_depth"": null, ""max_features"": 0.4669274474539094, ""min_samples_leaf"": 4, ""n_estimators"": 887}",0.6239349919674069,0.7428571428571429,6652.5,0.64,0.0812981353431901,0,1.0,1.0,0.0,2d55ae961f2db2ec4b808ffd29e23db6c1ed58946f8ceeae4eb89cf3bfc44888,0.8336734693877552
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,25,COMPLETE,0.8372448979591837,26.667026,"{""max_depth"": null, ""max_features"": 0.6307686424798116, ""min_samples_leaf"": 3, ""n_estimators"": 741}",0.6351195833770804,0.75,7410.0,0.6530612244897959,0.0744491637061183,0,1.0,1.0,0.0,7d5440da85773aa79f918e381db10f7dc770c169454d03c402e0789198588cdb,0.8372448979591837
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,26,COMPLETE,0.8433673469387756,30.114797,"{""max_depth"": 16, ""max_features"": 0.5146187881238218, ""min_samples_leaf"": 2, ""n_estimators"": 956}",0.6545498759025952,0.7607142857142857,7648.0,0.6666666666666666,0.087867334740046,0,1.0,1.0,0.0,1cfc9292cc858beb5e37d4586cc16848feaf69e94ac7ebd06031d09a69fdc1e1,0.8433673469387756
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,27,COMPLETE,0.8331632653061224,19.634672,"{""max_depth"": null, ""max_features"": 0.3203307307238966, ""min_samples_leaf"": 4, ""n_estimators"": 870}",0.6243825022661249,0.7071428571428571,6525.0,0.5833333333333334,0.0826956579784723,0,1.0,1.0,0.0,e0fa30768d3c80d556f0fe0915b5a4b654e0a353b3729b6c1bafa2c331ff71a5,0.8331632653061224
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,28,COMPLETE,0.8387755102040817,26.793503,"{""max_depth"": null, ""max_features"": 0.42071702116744186, ""min_samples_leaf"": 3, ""n_estimators"": 998}",0.6424914258474738,0.7607142857142857,9980.0,0.6666666666666666,0.0822246097792306,0,1.0,1.0,0.0,09d2417ba03e172637202cfcf6f742de8ac4130d5edbc61f501fb7a1d57fef7e,0.8387755102040817
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,29,COMPLETE,0.8408163265306123,21.245806,"{""max_depth"": 13, ""max_features"": 0.49362761990666226, ""min_samples_leaf"": 2, ""n_estimators"": 756}",0.642728238665843,0.7678571428571428,4914.0,0.68,0.0652726514125462,0,1.0,1.0,0.0,0607ab686a8d23dda03143a572678cb6c27b4633412056233ef43e52e98e906b,0.8408163265306123
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,30,COMPLETE,0.838265306122449,20.018426,"{""max_depth"": null, ""max_features"": 0.4680611564524682, ""min_samples_leaf"": 6, ""n_estimators"": 849}",0.6240565856635083,0.725,4245.0,0.6122448979591837,0.084276207252863,0,1.0,1.0,0.0,4d3d901ddb9b8f1fb0dc72e54e25c93f82c93647161ca165ad23ceaa5c5f7a8d,0.838265306122449
