model,feature,mean_abs_oof_shap,bootstrap_ci_low,bootstrap_ci_high,mean_rank,rank_sd,direction_spearman_mean,direction_spearman,direction_bootstrap_median,direction_bootstrap_ci_low,direction_bootstrap_ci_high,direction_block_bootstrap_ci_low,direction_block_bootstrap_ci_high,observed_only_direction_spearman,observed_only_direction_bootstrap_median,observed_only_direction_ci_low,observed_only_direction_ci_high,direction_sign,completed_direction_ci_excludes_zero,observed_direction_ci_excludes_zero,observed_completed_direction_agreement,direction_agreement_fraction,primary_missing_fraction,imputed_fraction,observed_group_count,new_rank,normalized_importance,top10_repeat_count,absolute_label_missingness_gap
XGBoost,Sr (ppm),0.20864622294902802,0.17856333312372386,0.2416819898434533,11.666666666666666,0.5773502691896257,0.37748757246412734,0.40116515377320144,0.40397852180097593,0.2283677187300452,0.5574762605247354,0.23524742865535248,0.560333137174676,0.4948600754658382,0.49616733585527995,0.28314744291739097,0.6781070747487087,1,True,True,True,1.0,0.337426329989912,0.38543809132044426,83,11,0.02998476571338359,0,0.507948296723295
XGBoost,FeO (wt.%),0.19896948337554932,0.16795176955581198,0.23320639001197926,13.0,1.0,0.7605240849683556,0.8279687327944852,0.8258134994376615,0.7489350955556392,0.8778622187449975,0.7505954007787812,0.8801265655561993,0.8740326353164868,0.8716253824420379,0.7991502447194181,0.9177079522447953,1,True,True,True,1.0,0.43632520219260823,0.39243109831345124,82,12,0.028594111404481624,0,0.0853745110190805
XGBoost,Dy (ppm),0.19594644010066986,0.1709573360069819,0.22117057271185092,15.0,2.0,0.7747481799116103,0.8664298460162302,0.865844700053596,0.7957415785624362,0.9119726459937795,0.7935102879921405,0.9108068142179746,0.8735702261607693,0.8716116585875116,0.8007204436322835,0.9137670831440696,1,True,True,True,1.0,0.0105708389271806,0.007404360345536816,121,13,0.02815966671117498,0,0.0154596666568296
XGBoost,Lu (ppm),0.19210273027420044,0.16020832039753632,0.2296020526648284,14.666666666666666,1.5275252316519468,0.15198782207847633,0.1478972382476642,0.146698793234227,-0.08335175996542091,0.37321358926389747,-0.07336646312087748,0.38809445298830914,0.1974509913503204,0.19828233690515673,-0.030469713842092464,0.4252625365117494,1,False,False,True,1.0,0.026832513546134737,0.01809954751131222,120,14,0.02760728317416232,0,0.0202978315971026
XGBoost,MgO (wt.%),0.19012747704982758,0.16243701574362082,0.21904124318580065,13.666666666666666,2.516611478423583,0.03385182255610977,0.10574684543316511,0.10938532869217031,-0.12133451076570675,0.30862805930000703,-0.112160847038665,0.3185021040471658,0.10090745597940343,0.10064489329174942,-0.12695816421961814,0.30420150735911927,1,False,False,True,0.6666666666666666,0.04326539400752469,0.058823529411764705,121,15,0.02732341747882263,0,0.0565020936416905
XGBoost,K2O (wt.%),0.17974314093589783,0.14614438503097024,0.21361542640666129,15.333333333333334,3.7859388972001824,0.8471675962550343,0.9109168055807584,0.9082982204005083,0.8674233476137552,0.9348414243409107,0.870866449190865,0.93393256623729,0.9070530735902559,0.903753684208122,0.8641528255955985,0.9321810235968075,1,True,True,True,1.0,0.041470361095567274,0.057178116001645414,121,16,0.02583107373511978,0,0.0588236258529499
XGBoost,Eu (ppm),0.15038849413394928,0.12544532208135697,0.17715753259859618,20.0,0.0,-0.6787855357733651,-0.7749918627953744,-0.7730502869593316,-0.8444951948893132,-0.6695048351470619,-0.8460712984236746,-0.678109743853853,-0.78979519619729,-0.7889641571599071,-0.855733011511694,-0.6967379211139286,-1,True,True,True,1.0,0.016336006654286753,0.01851090086384204,121,17,0.02161248691138139,0,0.0002106757691714
XGBoost,TiO2 (wt.%),0.14990971982479095,0.13077997667761473,0.16975871545022167,17.333333333333332,1.5275252316519465,-0.2528199353734775,-0.332250465129856,-0.3343697087610681,-0.5116549996821513,-0.13362579626199877,-0.511973692781081,-0.1416664425719049,-0.31466303792489064,-0.3119522693314587,-0.4837086351207388,-0.12233086272935435,-1,True,True,True,1.0,0.04107383891347965,0.05429864253393665,121,18,0.021543681757438073,0,0.0628863072226539
XGBoost,SiO2 (wt.%),0.1418582797050476,0.10878340247164472,0.1793421184528642,18.666666666666668,4.041451884327381,0.3381206438174944,0.34750468828482667,0.34300696480328896,0.1396894659162579,0.521614521080457,0.14368984088449008,0.5193440695850428,0.38400609680025266,0.3843076499542707,0.18624087629107697,0.5494862525259223,1,True,True,True,1.0,0.04251509574408075,0.062114356232003294,121,19,0.020386600923509822,0,0.0937080902774362
XGBoost,Al2O3 (wt.%),0.13482049107551575,0.11513055092111214,0.15519626035858863,22.333333333333332,3.7859388972001824,-0.7218698316381009,-0.7999788511823872,-0.7994803489178778,-0.8658199427723494,-0.702307576652264,-0.863599879030448,-0.7012918504583776,-0.8045692804032293,-0.8026037424803278,-0.8668433352635654,-0.7059471030510774,-1,True,True,True,1.0,0.04022001377686763,0.053475935828877004,121,20,0.019375192999540925,0,0.0640470733282836
XGBoost,Na2O (wt.%),0.1331920176744461,0.11507178159501236,0.15322060985729236,20.666666666666668,1.5275252316519465,-0.4681729264106316,-0.5447185108594563,-0.5454734843877791,-0.6818122611327855,-0.38490831058300057,-0.6797554431510553,-0.3750774892647443,-0.5874434760736872,-0.5830357883024355,-0.720462541448731,-0.42192565251873554,-1,True,True,True,1.0,0.040688397851809076,0.05429864253393665,121,21,0.01914116339329457,0,0.0628863072226539
XGBoost,Yb (ppm),0.1292264312505722,0.10347621861662044,0.1573421724459832,21.666666666666668,3.0550504633038935,0.3851403702366754,0.42237826950125973,0.4252815809024265,0.2071609519186804,0.6005638663816334,0.21641068004519512,0.5937215765897264,0.4020979969008466,0.4059666013815789,0.1966196200876998,0.5788261700326711,1,True,True,True,1.0,0.009866311214456167,0.005758946935417524,121,22,0.018571264843704808,0,0.0098099491427053
