model,Geological Group ID,target,cv_block,model_score,model_score_mean_sensitivity,model_score_sd,score_type,positive_vote_fraction,prediction
SVM,GG0018,0,CVB0016,0.18419502603337512,0.21967636559619433,0.07255728578251633,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0019,0,CVB0017,0.17049295368323752,0.1726278593234437,0.03361256434667167,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0020,1,CVB0018,0.45629854262034725,0.46931411911567694,0.028214310938159452,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0023,0,CVB0020,0.2629361201215468,0.21393307092342914,0.09698833680678637,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0024,0,CVB0021,0.4182752693537056,0.4071124816915113,0.054097518176878655,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0025,1,CVB0022,0.7280765487312286,0.733517993712486,0.020943196823722747,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0026,1,CVB0023,0.20464375333735774,0.22170971587660973,0.031245763047547413,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0027,0,CVB0024,0.14786657903211453,0.1720385317068648,0.056157488802770425,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0028,1,CVB0025,0.474628566528275,0.4807175717854724,0.058634380764587865,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0029,0,CVB0026,0.0835333174401426,0.10874339716819865,0.12125337661862741,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0030,0,CVB0027,0.1926648174131866,0.2090927933552205,0.03211255819721125,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0031,0,CVB0028,0.20126170832705553,0.22533491875985778,0.058750521101763396,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0032,0,CVB0029,0.29475193666128663,0.2946304135658689,0.032136170835599435,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0034,1,CVB0031,0.5900522258684847,0.4910177190701268,0.1773388668678697,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0035,1,CVB0032,0.3064593864027552,0.25676403596856695,0.13049601214490814,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0036,0,CVB0033,0.26606798103571117,0.2653439996967345,0.03635477895355997,monotonic_transformed_decision_score_not_calibrated,0.0,0
