feature,task,bin,x_median,y_median_standardized_shap,ci_low,ci_high,geological_groups,dependency_blocks
Zr,Task A prospectivity,2,92.34238391421746,0.5132741796328787,-0.21329311867213047,0.5996020731114577,13,13
Zr,Task A prospectivity,3,120.0,-0.5691566950435334,-0.7326169158019179,-0.21101736553600833,14,14
Zr,Task A prospectivity,4,151.0,-0.5948228387184256,-0.7862693207021901,-0.008750058943305555,13,13
Zr,Task A prospectivity,5,214.7,-0.5487329938699671,-0.7581253893161064,0.0816331759083804,14,14
Zr,Task B S-type,1,60.050000000000004,3.3324674383957387,0.6714859046233865,4.611163598149208,14,14
Zr,Task B S-type,2,92.34238391421746,0.4727491305828922,-0.43910973453614505,1.406580048389279,13,13
Zr,Task B S-type,3,120.0,0.0,-0.5025960202348785,0.4066813291458887,14,14
Zr,Task B S-type,4,151.0,-0.7791387533807824,-1.221751379942933,0.032084416206423216,13,13
Zr,Task B S-type,5,214.7,-0.701002598694147,-1.1741984886097565,-0.15542701120300884,14,14
P2O5,Task A prospectivity,1,0.02,-3.678049611863906,-4.774508522137159,-1.8456110502744565,17,17
P2O5,Task A prospectivity,2,0.07,0.16977004821397831,0.05076847475805455,0.45195453454732715,13,13
P2O5,Task A prospectivity,3,0.125,0.2638639879705519,-0.23826537205854273,0.4565754815931518,14,14
P2O5,Task A prospectivity,4,0.1595655314118496,-0.04078862300829897,-0.3379987863818834,0.40172707744060826,10,10
P2O5,Task A prospectivity,5,0.215,1.1576698936049281,-0.23937291264899802,1.9527598861610376,14,14
P2O5,Task B S-type,1,0.02,-1.1959428655206783,-2.145822592029256,-0.9698554422853451,17,17
P2O5,Task B S-type,2,0.07,-0.6435757056322801,-0.8951118364172308,-0.1814589696062878,13,13
P2O5,Task B S-type,3,0.125,0.056097364564352575,-0.0034638044531530437,0.1689181745103898,14,14
P2O5,Task B S-type,4,0.1595655314118496,0.379841447287552,0.03263016868687793,1.7203698928590898,10,10
P2O5,Task B S-type,5,0.215,0.5722357676744959,0.3981502682139842,0.9711356785479749,14,14
Ba,Task A prospectivity,1,17.549999999999997,0.7248761572819156,0.4232502109360329,1.6182820221474683,14,14
Ba,Task A prospectivity,2,142.0,0.3790771289174568,0.29786199155862986,0.6588307015958761,13,13
Ba,Task A prospectivity,3,235.5,0.12275899884473422,-0.6491675382682175,0.27248133296013965,14,14
Ba,Task A prospectivity,4,484.0,-0.8673319999895335,-1.2197396131523612,-0.6446524238890683,13,13
Ba,Task A prospectivity,5,686.5,-1.1914151625948906,-1.3695082968578867,-1.0348181626040462,14,14
Ba,Task B S-type,1,17.549999999999997,0.655197052369197,0.36321626403838025,0.9658116123954315,14,14
Ba,Task B S-type,2,142.0,0.9210852929386163,0.09037311206495519,1.1565992392302153,13,13
Ba,Task B S-type,3,235.5,0.2719722972710223,-0.15633191604533334,0.7828457408782967,14,14
Ba,Task B S-type,4,484.0,-0.5708424874561085,-1.0314093650569343,-0.18648791209947718,13,13
Ba,Task B S-type,5,686.5,-1.3771185562433534,-1.9246222925982381,-0.452393108149274,14,14
