class,omitted_source_block,remaining_groups,rank_spearman_vs_full,top10_jaccard_vs_full,maximum_primary_bridge_direction_change,primary_bridge_direction_sign_flips,sensitivity_definition,analysis_protocol_hash
S,RCB0051,70,0.9997181113460184,1.0,0.0127547896072084,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0052,70,1.0,1.0,0.0071426479325532,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0053,70,0.9995771670190272,1.0,0.0038870906599014,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0054,70,0.9995771670190272,1.0,0.0102841063404663,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0055,70,0.9998590556730091,1.0,0.0042720088647828,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0056,70,0.998872445384073,1.0,0.0081153588195841,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0057,70,0.9997181113460184,1.0,0.0042720088647828,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0058,70,0.9998590556730091,1.0,0.0205822219177004,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0059,70,0.9995771670190272,1.0,0.0265910691742558,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0060,70,0.999154334038055,1.0,0.0068060537135856,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0061,70,0.9992952783650456,1.0,0.0469652309901763,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0062,70,0.9997181113460184,1.0,0.0079125045470239,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0063,70,0.9995771670190272,1.0,0.0158655667953793,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0064,70,0.9994362226920366,1.0,0.0070026740026494,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0065,70,0.9997181113460184,1.0,0.0494847617284441,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0066,70,0.9998590556730091,1.0,0.0058749275484976,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0067,70,0.999013389711064,1.0,0.0095142497259956,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0069,70,0.9997181113460184,1.0,0.0176852278841284,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0070,70,0.9998590556730091,1.0,0.0037738811393708,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
