class,omitted_source_block,remaining_groups,rank_spearman_vs_full,top10_jaccard_vs_full,maximum_primary_bridge_direction_change,primary_bridge_direction_sign_flips,sensitivity_definition,analysis_protocol_hash
I,RCB0051,70,0.999154334038055,1.0,0.006879946133093395,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0052,70,0.9998590556730093,1.0,0.035008525582479855,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0053,70,0.9997181113460183,1.0,0.0322157186310746,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0054,70,0.9998590556730093,1.0,0.004538964378612675,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0055,70,0.9997181113460183,1.0,0.03198906590049669,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0056,70,0.9995771670190273,1.0,0.009936430175254474,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0057,70,0.9994362226920366,1.0,0.009707573699918759,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0058,70,0.9997181113460183,1.0,0.034612835095743255,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0059,70,0.9998590556730093,1.0,0.03182403509656967,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0060,70,0.9998590556730093,1.0,0.004127664537952547,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0061,70,0.9995771670190273,1.0,0.004342918653587602,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,RCB0062,70,0.999154334038055,1.0,0.010811244277258103,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
