scope,repeat_id,repeat_seed,effective_split_seed,split_seed_offset,outer_fold,probability_version,evaluation_unit,group_type_strata,source_blocks,n,macro_f1,balanced_accuracy,macro_ovr_auc,precision_I,recall_I,f1_I,support_I,precision_A,recall_A,f1_A,support_A,precision_S,recall_S,f1_S,support_S,analysis_protocol_hash
outer_fold,4,20260894,20260895.0,1.0,1,raw,geological_group_by_reported_type_stratum,7,7,7,0.48888888888888893,0.65,0.95,0.0,0.0,0.0,0,1.0,0.5,0.6666666666666666,2,0.8,0.8,0.8,5,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,4,20260894,20260895.0,1.0,1,calibrated,geological_group_by_reported_type_stratum,7,7,7,0.48888888888888893,0.65,0.95,0.0,0.0,0.0,0,1.0,0.5,0.6666666666666666,2,0.8,0.8,0.8,5,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,4,20260894,20260895.0,1.0,2,raw,geological_group_by_reported_type_stratum,16,15,16,0.5194444444444445,0.5666666666666667,0.7702020202020202,0.75,0.5,0.6,6,1.0,0.2,0.3333333333333333,5,0.45454545454545453,1.0,0.625,5,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,4,20260894,20260895.0,1.0,2,calibrated,geological_group_by_reported_type_stratum,16,15,16,0.5194444444444445,0.5666666666666667,0.7484848484848484,0.75,0.5,0.6,6,1.0,0.2,0.3333333333333333,5,0.45454545454545453,1.0,0.625,5,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,4,20260894,20260895.0,1.0,3,raw,geological_group_by_reported_type_stratum,15,15,15,0.5539682539682539,0.6833333333333332,0.6684848484848485,1.0,0.25,0.4,4,0.3333333333333333,1.0,0.5,1,0.7272727272727273,0.8,0.7619047619047619,10,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,4,20260894,20260895.0,1.0,3,calibrated,geological_group_by_reported_type_stratum,15,15,15,0.5539682539682539,0.6833333333333332,0.6836363636363636,1.0,0.25,0.4,4,0.3333333333333333,1.0,0.5,1,0.7272727272727273,0.8,0.7619047619047619,10,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,4,20260894,20260895.0,1.0,4,raw,geological_group_by_reported_type_stratum,16,15,16,0.34074074074074073,0.3333333333333333,0.687878787878788,0.25,0.2,0.2222222222222222,5,0.0,0.0,0.0,1,0.8,0.8,0.8,10,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,4,20260894,20260895.0,1.0,4,calibrated,geological_group_by_reported_type_stratum,16,15,16,0.34074074074074073,0.3333333333333333,0.6722222222222222,0.25,0.2,0.2222222222222222,5,0.0,0.0,0.0,1,0.8,0.8,0.8,10,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,5,20260895,20260896.0,1.0,1,raw,geological_group_by_reported_type_stratum,9,8,9,0.2814814814814815,0.4666666666666666,0.674074074074074,0.0,0.0,0.0,3,0.25,1.0,0.4,1,0.5,0.4,0.4444444444444444,5,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,5,20260895,20260896.0,1.0,1,calibrated,geological_group_by_reported_type_stratum,9,8,9,0.2814814814814815,0.4666666666666666,0.6759259259259259,0.0,0.0,0.0,3,0.25,1.0,0.4,1,0.5,0.4,0.4444444444444444,5,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
